size,brand,dominant_material,actual_color,product_type,body,product_details,type,variant_price,variant_compare_at_price,ideal_for,is_in_stock
3XL,DEYANN,Dupion,Maroon,Kurta with Pyjamas & Nehru Jacket,"Off-white and maroon solid kurta with pyjamas Maroon straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Maroon solid pyjamas, drawstring closure Off-white Nehru jacket, has a mandarin collar, full button placket, sleeveless, three welt pockets Comes with a matching pocket square
The model (height 6') is wearing a size M
Dupion silk Jacquard Dry-clean
Complete your look with this kurta set from DEYANN. Dress this set up with your favourite accessories and head out to any family event in style.","Off-white and maroon solid kurta with pyjamas Maroon straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Maroon solid pyjamas, drawstring closure Off-white Nehru jacket, has a mandarin collar, full button placket, sleeveless, three welt pockets Comes with a matching pocket square",Clothing/Men/Kurta Sets/DEYANN/More by DEYANN,918,4590,Men,In Stock
L,Anouk,Viscose,Yellow | Blue | Navy,Fusion Kurta,"Navy blue and yellow printed A-line fusion kurta, has a round neck, three-quarter sleeves, asymmetric hem This fusion kurta can also be worn as a dress
The model (height 5'8"") is wearing a size S
100% Viscose  Machine-wash
You'll love the style, comfort and durability of this Anouk kurta.  Sport this navy blue piece with studded flats and minimal jewellery for a simple yet stunning evening ensemble.","Navy blue and yellow printed A-line fusion kurta, has a round neck, three-quarter sleeves, asymmetric hem This fusion kurta can also be worn as a dress",Clothing/Women/Kurtas/Anouk/More by Anouk,1399,3499,Women,In Stock
S,DEYANN,Dupion,Black,Straight Kurta,"Black solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Dupion Silk  Dry-clean
This in-style kurta from DEYANN is a must-have for any wardrobe.  Achieve a comfortably chic look for your next dinner party or family outing when you team this black piece with slim trousers and minimal flair.","Black solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/DEYANN/More by DEYANN,807,2690,Men,In Stock
XS,Anouk,Cotton,Black | Grey,Kurta with Trousers,"Black striped kurta with trousersBlack straight knee length striped kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slitsGrey printed palazzos, hook and eye closure
The model (height 5'8"") is wearing a size S
Versatile for a dressy event, yet chic when paired with jeans, this black kurta set from Anouk is mindfully crafted to keep you looking polished no matter the occasion.  Wear this kurta set to lunch or on vacation with bright accessories.
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Machine-wash","Black striped kurta with trousersBlack straight knee length striped kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slitsGrey printed palazzos, hook and eye closure",Clothing/Women/Kurta Sets/Anouk/More by Anouk,1649,3299,Women,In Stock
34,Yufta,Cotton,Red,Cropped Palazzo,"A pair of red and off-white printed woven wide leg palazzos, has a drawstring closure
The model (height 5'8"") is wearing a size 28
Cotton Hand-wash
Keep it cool for the weekend with these classic palazzos designed by Yufta. Create a chic, versatile look by pairing them with a sleek tank and gladiator sandals.","A pair of red and off-white printed woven wide leg palazzos, has a drawstring closure",Clothing/Women/Palazzos/Yufta/More by Yufta,499,999,Women,In Stock
XL,SOJANYA,Silk,Blue | Navy,Straight Kurta,"Navy Blue woven design straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Silk and polyester Machine-wash
From SOJANYA, this kurta is a great way to show off your style.  Achieve a comfortably chic look for your next dinner party or family outing when you team this navy blue piece with slim trousers and minimal flair.","Navy Blue woven design straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/SOJANYA/More by SOJANYA,1374,2499,Men,In Stock
34,Ishin,Cotton,Pink | White,Straight Palazzo,"A pair of white and pink embroidered woven straight palazzos, has an elasticated waistband with drawstring fastening
The model (height 5'8"") is wearing a size 28
Cotton Dry-clean
Complete any casual look with these white palazzos designed by Ishin.  Pair them with a sleek tank and gladiator sandals for a super chic look.","A pair of white and pink embroidered woven straight palazzos, has an elasticated waistband with drawstring fastening",Clothing/Women/Palazzos/Ishin/More by Ishin,526,1349,Women,Out of Stock
S,RARE ROOTS,Georgette,Blue | White,Shrug,"Blue printed open front longline shrug, has three-quarter sleeves, straight hem
The model (height 5'8'') is wearing a size S
Poly georgette Machine-wash
Cover-up in style this winter with this lovely shrug from RARE ROOTS. We recommend styling it over a plain long sleeved tee and distressed jeans for best results.","Blue printed open front longline shrug, has three-quarter sleeves, straight hem",Clothing/Women/Shrug/RARE ROOTS/More by RARE ROOTS,649,1299,Women,Out of Stock
S,TABARD,Cotton,Beige | Blue,Kurta with Churidar,"Blue and beige solid kurta with churidar Blue straight knee length kurta, has a mandarin collar, long sleeves, straight hem Beige solid churidar, drawstring closure
The model (height 6') is wearing a size M
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Machine-wash
Sport this classic kurta from TABARD this season.  This blue piece is a great option for any evening event when combined with your favourite trousers or jeans.","Blue and beige solid kurta with churidar Blue straight knee length kurta, has a mandarin collar, long sleeves, straight hem Beige solid churidar, drawstring closure",Clothing/Men/Kurta Sets/TABARD/More by TABARD,1329,3799,Men,In Stock
M,AKKRITI BY PANTALOONS,rayon,Blue,Top,"Blue printed woven regular top, has a round neck, extended short sleeves, button closure
The model (height 5'8"") is wearing a size S
This AKKRITI BY PANTALOONS top is a perfect match for any fashionista because it's stylish and comfy.  This blue piece only needs faded jeans and pair of sunglasses for the coolest outfit to run errands in around.
58% rayon, 32% cotton, 10% linenMachine-wash","Blue printed woven regular top, has a round neck, extended short sleeves, button closure",Clothing/Women/Tops/AKKRITI BY PANTALOONS/More by AKKRITI BY PANTALOONS,599,599,Women,Out of Stock
XXL,IMARA,Viscose Rayon,Blue | Navy,Straight Kurta,"Navy Blue and off-white striped straight kurta with colourblocked detailing, has a round neck, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
Comfortable and stylish, this kurta from IMARA is ideal for any fashionista.  For your next dinner party or family gathering, this navy blue piece pairs well with dark leggings and chic flats.
Viscose Rayon Hand-wash","Navy Blue and off-white striped straight kurta with colourblocked detailing, has a round neck, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/IMARA/More by IMARA,1079,1799,Women,Out of Stock
M,The Indian Garage Co,Cotton,Purple,Short Kurta,"Purple solid kurta, has a mandarin collar, short button placket, long sleeves with roll-up tab feature, curved hem
Slim fit  The model (height 6') is wearing a size 39
Cotton blend  Machine-wash
Cozy up with this in-style The Indian Garage Co kurta this season. This purple piece can be worn with dark wash jeans and Chelsea boots when you're going to an after-work happy hour.","Purple solid kurta, has a mandarin collar, short button placket, long sleeves with roll-up tab feature, curved hem",Clothing/Men/Kurtas/The Indian Garage Co/More by The Indian Garage Co,584,1299,Men,In Stock
L,Inddus,Crepe,Green | Sea Green,Dhoti Pants,"Sea green solid mid-rise dhoti pants with pleated detail, has a partially elasticated waistband
The model (height 5'8"") is wearing size S
Dhoti Fabric: Crepe Dry clean
Elevate your style quotient with this pair of dhoti pants from Inddus. Team it with a kurti and flats for a complete look.","Sea green solid mid-rise dhoti pants with pleated detail, has a partially elasticated waistband",Clothing/Women/Dhotis/Inddus/More by Inddus,719,999,Women,In Stock
XL,Jompers,Cotton,Yellow | Mustard,Straight Kurta,"Mustard Yellowprinted straight kurta, has a mandarin collar, long sleeves, straight hem, multiple slits
The model (height 6') is wearing a size M
Flaunt your style with a kurta from Jompers.  Achieve a comfortably chic look for your next dinner party or family outing when you team this mustard piece with slim trousers and minimal flair.
Cotton  Machine-wash","Mustard Yellowprinted straight kurta, has a mandarin collar, long sleeves, straight hem, multiple slits",Clothing/Men/Kurtas/Jompers/More by Jompers,794,1499,Men,In Stock
S,Shree,cotton,Yellow | Mustard,Straight Kurta,"Mustard yellow solid straight kurta, has a notched round neck, a short mock button placket with synthetic pearl-like detail, three-quarter sleeves, an insert pocket on the right, a straight hem, and side slits
The model (height 5'8"") is wearing a size S
Look and feel beautiful in this uniquely designed kurta from Shree. Look chic for the day with this kurta and leggings.
100% cotton  Hand-wash cold","Mustard yellow solid straight kurta, has a notched round neck, a short mock button placket with synthetic pearl-like detail, three-quarter sleeves, an insert pocket on the right, a straight hem, and side slits",Clothing/Women/Kurtas/Shree/More by Shree,549,999,Women,In Stock
S,Global Desi,viscose,Blue,A-Line Dress,"Blue self-design woven A-line dress, has a round neck, three-quarter sleeves with roll-up tabs, straight hem
Regular Fit  The model (height 5'8"") is wearing a size S
55% viscose, 30% cotton, 15% flex Machine-wash
This dress from Global Desi is both durable and stylish, making it a must-have item.  When you're going to an art gallery opening or the theater, wear this self design blue piece with platform heels and a trendy clutch.","Blue self-design woven A-line dress, has a round neck, three-quarter sleeves with roll-up tabs, straight hem",Clothing/Women/Dresses/Global Desi/More by Global Desi,959,2399,Women,In Stock
M,Libas,Cotton,Brown,Straight Kurta,"Off-White and brown printed straight kurta, has a notched round neck, short sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
Cotton  Machine-wash
This fashion-forward kurta from Libas will take your personal style to new heights.  Dress up for your next family event by pairing this off-white piece with your best Kolhapuris and simple jewellery.","Off-White and brown printed straight kurta, has a notched round neck, short sleeves, straight hem, side slits",Clothing/Women/Kurtas/Libas/More by Libas,639,1599,Women,Out of Stock
S,VASTRAMAY,Cotton,Grey,Kurta with Pyjamas,"Grey solid kurta with pyjamas Grey straight knee length kurta, has a mandarin collar, long sleeves, straight hem Grey solid pyjamas, drawstring closure Black solid Nehru jacket, has a mandarin collar, three pockets, sleeveless
The model (height 6') is wearing a size M
From VASTRAMAY, this kurta is a great way to show off your style.  This grey piece is a great option for any evening event when combined with your favourite trousers or jeans.
Top fabric: Pure Cotton Bottom fabric: Cotton Blend Dry-clean","Grey solid kurta with pyjamas Grey straight knee length kurta, has a mandarin collar, long sleeves, straight hem Grey solid pyjamas, drawstring closure Black solid Nehru jacket, has a mandarin collar, three pockets, sleeveless",Clothing/Men/Kurta Sets/VASTRAMAY/More by VASTRAMAY,1649,5499,Men,In Stock
XL,Cottinfab,Viscose Rayon,Black,Maxi Dress,"Black and white printed woven maxi dress, has a mandarin collar, three-quarter sleeves, flared hem
Semi-Fit  The model (height 5'8"") is wearing a size S
Viscose Rayon   Machine-wash
Replace some of your outdated essentials with this beautiful dress from Cottinfab.  This printed black piece can be matched with your favourite pair of heels for a night out with your ladies.","Black and white printed woven maxi dress, has a mandarin collar, three-quarter sleeves, flared hem",Clothing/Women/Dresses/Cottinfab/More by Cottinfab,791,2199,Women,In Stock
Onesize,Anekaant,Modal,Beige | Red | Rust,Shawl,"Rust red and beige checked woven design shawl, has fringe details on either ends
Length: 2 metresWidth: 0.7 metre
Trendy and appealing, this shawl from Anekaant will surely impress fashionable women. A must-have in your wardrobe, this shawl will surely spruce up your casual look for the day.
Modal Dry clean","Rust red and beige checked woven design shawl, has fringe details on either ends",Clothing/Women/Shawl/Anekaant/More by Anekaant,839,1199,Women,In Stock
XL,KISAH,Cotton,Mustard,Kurta with Churidar,"Mustard and cream-coloured printed kurta with churidar  Mustard and cream-coloured straight calf length kurta, has a mandarin collar, long sleeves, asymmetric hem, side slits  Mustard and cream-coloured solid churidar, drawstring closure Mustard and cream-coloured dupatta
The model (height 6') is wearing a size M
Top fabric: Cotton Blend Bottom fabric: Cotton Blend Dry-clean
This in-style kurta from KISAH is a must-have for any wardrobe.  When you need a stylish ensemble for your next family function or party, sport this mustard piece with a pair of fitted jeans.","Mustard and cream-coloured printed kurta with churidar  Mustard and cream-coloured straight calf length kurta, has a mandarin collar, long sleeves, asymmetric hem, side slits  Mustard and cream-coloured solid churidar, drawstring closure Mustard and cream-coloured dupatta",Clothing/Men/Kurta Sets/KISAH/More by KISAH,3674,10499,Men,In Stock
3-4Y,Aj DEZInES,Silk,Black,,"AJ Dezines presents this black coloured party wear boys dress set. Fashion style with super fine silk blend fabric and crafted with brooch and fancy button work that feel your boy all day comfortable. This kids clothes set comprises of a full sleeve kurta, a waistcoat and pair of pyjama. Featuring nehru collar, button detailing, solid pattern, pocket square, curved hem, eye catching design and these kids cloths are light in weight and presented to patrons in different sizes. You can club it with a pair of mojari for perfect traditional look. Suitable for party, wedding, ceremony, any occasion festival like Diwali, Navratri, Dussehra, Pongal, Onam, Lohri, Eid, Christmas and so on. We are a leading Brand in kids wear with wide range of kids clothing which includes kids ethnic wear, accessories and a lot more.
Regular Fit
This sherwani set from Aj DEZInES is a must-have in your little boy's ethnic wardrobe. It can be teamed with a pair of sandals or mojaris for a typical ethnic look.
75% Silk, 25% Cotton Machine Wash","AJ Dezines presents this black coloured party wear boys dress set. Fashion style with super fine silk blend fabric and crafted with brooch and fancy button work that feel your boy all day comfortable. This kids clothes set comprises of a full sleeve kurta, a waistcoat and pair of pyjama. Featuring nehru collar, button detailing, solid pattern, pocket square, curved hem, eye catching design and these kids cloths are light in weight and presented to patrons in different sizes. You can club it with a pair of mojari for perfect traditional look. Suitable for party, wedding, ceremony, any occasion festival like Diwali, Navratri, Dussehra, Pongal, Onam, Lohri, Eid, Christmas and so on. We are a leading Brand in kids wear with wide range of kids clothing which includes kids ethnic wear, accessories and a lot more.",Clothing/Boys/Sherwani/Aj DEZInES/More by Aj DEZInES,1799,2999,Boys,In Stock
M,TREEMODA,Linen,Pink | White,Kurta with Pyjamas,"Pink and white solid kurta with pyjamasPink straight knee length kurta, has a mandarin collar, long sleeves, asymmetric hem, front slitWhite solid pyjamas, slip-on closure
The model (height 6') is wearing a size M
This in-style kurta from TREEMODA is a must-have for any wardrobe.  When you need a stylish ensemble for your next family function or party, sport this pink piece with a pair of fitted jeans.
Top fabric: Linen Bottom fabric: Linen Dry-clean","Pink and white solid kurta with pyjamasPink straight knee length kurta, has a mandarin collar, long sleeves, asymmetric hem, front slitWhite solid pyjamas, slip-on closure",Clothing/Men/Kurta Sets/TREEMODA/More by TREEMODA,1999,3999,Men,In Stock
XL,The Indian Garage Co,Cotton,Mustard,Straight Kurta,"Mustard solid straight kurta, has a mandarin collar, long sleeves, curved hem
The model (height 6') is wearing a size M
100% CottonMachine-wash
Flaunt your style with a kurta from The Indian Garage Co.  This mustard piece is a great option for any evening event when combined with your favourite trousers or jeans.","Mustard solid straight kurta, has a mandarin collar, long sleeves, curved hem",Clothing/Men/Kurtas/The Indian Garage Co/More by The Indian Garage Co,459,1999,Men,In Stock
32,Moda Rapido,Cotton,Blue | Navy,Flared Palazzo,"A pair of navy blue and golden printed woven flared palazzos, has an elasticated waistband with a drawstring fasteningÂ Â 
The model (height 5'8"") is wearing a size 28
Cotton   Machine-wash
Upgrade your collection of warm-weather staples with these top-notch navy blue palazzos by Moda Rapido.  These look exceptionally chic when paired with a sleek tank and gladiator sandals.","A pair of navy blue and golden printed woven flared palazzos, has an elasticated waistband with a drawstring fasteningÂ Â ",Clothing/Women/Palazzos/Moda Rapido/More by Moda Rapido,699,1399,Women,Out of Stock
26,Fabindia,Cotton,,Regular Trousers,"Peach-Coloured solid mid-rise regular trousers, has a drawstring closure, two pockets
Regular Fit The model (height 5'8"") is wearing a size 28
Embrace your inner fashionista with these lovely Fabindia trousers.  You'll get the most out of your casual coffee date with this solid peach pair by adding them to your favourite tee or wedges.
Cotton  Machine-wash","Peach-Coloured solid mid-rise regular trousers, has a drawstring closure, two pockets",Clothing/Women/Trousers/Fabindia/More by Fabindia,690,690,Women,In Stock
M,The Indian Garage Co,cotton,Blue,Straight Kurta,"Blue solid straight kurta, has a mandarin collar, long sleeves, curved hem, side slits
The model (height 6') is wearing a size M
100% cotton   Machine-wash
Complete your look with this kurta from The Indian Garage Co. Achieve a comfortably chic look for your next dinner party or family outing when you team this blue piece with slim trousers and minimal flair.","Blue solid straight kurta, has a mandarin collar, long sleeves, curved hem, side slits",Clothing/Men/Kurtas/The Indian Garage Co/More by The Indian Garage Co,449,1499,Men,In Stock
L,Anouk,cotton,Blue | Navy,A-Line Dress,"woven, self designed Off-white &amp; navy blue dress with cold shoulder &amp; ruffle details,  it has tiered hem with flare which brings out a young corporate character.
The model (height 5'8"") is wearing a size S
100% cotton Hand-wash
Keep it classy all year long with a stylish dress from Anouk. Sport this off-white piece with studded flats and minimal jewellery for a simple yet stunning evening ensemble.","woven, self designed Off-white &amp; navy blue dress with cold shoulder &amp; ruffle details,  it has tiered hem with flare which brings out a young corporate character.",Clothing/Women/Dresses/Anouk/More by Anouk,2199,2199,Women,Out of Stock
L,Freehand,cotton,Yellow,Straight Kurta,"Yellow solid straight kurta, has a mandarin collar, long sleeves, straight hem, multiple slits
The model (height 6') is wearing a size M
100% cotton Machine-wash
Complete your look with this kurta from Freehand.  Dress this yellow piece up with your favourite accessories and head out to any family event in style.","Yellow solid straight kurta, has a mandarin collar, long sleeves, straight hem, multiple slits",Clothing/Men/Kurtas/Freehand/More by Freehand,734,2099,Men,In Stock
40/37,Bollywood Vogue,Net,Black,Lehenga Choli,"Black lehenga choliÂ with dupattaBlack sequinned made to measure choli, has boat neck, sleeveless, padded cups, hook and eye closure concealed zipÂ Black printed made to measure lehenga, flared hem, concealed zip closure on the sideBlack net solid dupatta, has sequinnedÂ taping borderWhat is Made to Measure?CustomisedÂ Lehenga CholiÂ according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Lehenga length?Measure from waist till barefoot to find lehenga length in inches
This Product is Made to Measure. Please refer to the Size Chart.
Nothing jazzes up a celebration like a good old lehenga choli with Sequinned. This set from Bollywood Vogue with its heavy bead and stone detailing is reminiscent of the grandeur of the Rajasthani royal courts. Wear this set with heavy jhumkas, jeweled hairpins and embellished sandals to be the cynosure of all eyes.
Blouse fabric: Net Lehenga fabric: Organza Lehenga lining fabric: Shantoon Dupatta fabric: Net","Black lehenga choliÂ with dupattaBlack sequinned made to measure choli, has boat neck, sleeveless, padded cups, hook and eye closure concealed zipÂ Black printed made to measure lehenga, flared hem, concealed zip closure on the sideBlack net solid dupatta, has sequinnedÂ taping borderWhat is Made to Measure?CustomisedÂ Lehenga CholiÂ according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Lehenga length?Measure from waist till barefoot to find lehenga length in inches",Clothing/Women/Lehenga Choli/Bollywood Vogue/More by Bollywood Vogue,8478,8478,Women,In Stock
4-5Y,KID1,Silk,Blue | Orange,Kurta with Pyjamas,"Orange and blue printed kurta with pyjamas Orange and blue straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Blue solid pyjamas, slip-on closure &nbsp;
Top fabric: Art Silk Bottom fabric: Art Silk Dry-clean
FESTIVE SEASON","Orange and blue printed kurta with pyjamas Orange and blue straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Blue solid pyjamas, slip-on closure &nbsp;",Clothing/Boys/Kurta Sets/KID1/More by KID1,599,1499,Boys,Out of Stock
Double King,Raymond Home,Polyester,Pink,,"â€¢ Set content: Double bed blanketâ€¢ Usage: Heavy Winterâ€¢ GSM: 600â€¢ Colour: Pinkâ€¢ Pattern: Solid Blanket
Size Blanket: (height and width in feet)
Polyester   Machine-wash
Nothing matches the comfort of a nice and cosy-looking bed. Raymond Home brings to you these Blanket from Raymond Home Denim collection that boast of premium cotton fabric and unmatched comfort.",â€¢ Set content: Double bed blanketâ€¢ Usage: Heavy Winterâ€¢ GSM: 600â€¢ Colour: Pinkâ€¢ Pattern: Solid Blanket,Home/Unisex/Blankets Quilts and Dohars/Raymond Home/More by Raymond Home,4038,13460,Unisex,In Stock
32,Shree,Cotton,Brown,Solid Trousers,"Brown mid-rise solid regular trousers, has a drawstring closure, 2 pockets
Regular Fit The model (height 5'8"") is wearing a size 28
Cotton Hand-wash
Embrace your inner fashionista with these lovely Shree trousers.  This solid taupe pair can be worn with trainers and a loose T-shirt when you need to run some errands.","Brown mid-rise solid regular trousers, has a drawstring closure, 2 pockets",Clothing/Women/Trousers/Shree/More by Shree,519,799,Women,In Stock
S,VASTRAMAY,Cotton,Blue | White,Kurta with Churidar,"Blue and white printed kurta with churidarBlue straight knee length kurta, has a mandarin collar, long sleeves, straight hemWhite solid churidar, drawstring closure
The model (height 6') is wearing a size M
Complete your look with this kurta from VASTRAMAY.  Achieve a comfortably chic look for your next dinner party or family outing when you team this blue piece with slim trousers and minimal flair.
Top fabric: Pure Cotton Bottom fabric: Cotton Blend Dry-clean","Blue and white printed kurta with churidarBlue straight knee length kurta, has a mandarin collar, long sleeves, straight hemWhite solid churidar, drawstring closure",Clothing/Men/Kurta Sets/VASTRAMAY/More by VASTRAMAY,2399,7999,Men,In Stock
L,Jompers,Cotton,Blue | White,Kurta with Churidar,"Blue and white self design kurta with churidar  Blue and white straight knee length kurta, has a mandarin collar, long sleeves, straight hem  Blue and white solid churidar, drawstring closure
The model (height 6') is wearing a size M
Sport this classic kurta from Jompers this season.  Dress this blue piece up with your favourite accessories and head out to any family event in style.
Top fabric: 70% Cotton, 30% Polyester Bottom fabric: 70% Cotton, 30% Polyester Hand-wash","Blue and white self design kurta with churidar  Blue and white straight knee length kurta, has a mandarin collar, long sleeves, straight hem  Blue and white solid churidar, drawstring closure",Clothing/Men/Kurta Sets/Jompers/More by Jompers,879,1599,Men,In Stock
S,RG DESIGNERS,Cotton,White,Kurta with Pyjama,"Cream-coloured and white solid kurta with pyjama Cream-coloured straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid pyjama, drawstring closure
The model (height 6') is wearing a size M
Sport this classic kurta set from RG DESIGNERS this season. When you need a stylish ensemble for your next family function or party, sport this piece with a pair of sandals.
Kurta fabric: Cotton blend Bottom fabric: Cotton blend Dry-clean","Cream-coloured and white solid kurta with pyjama Cream-coloured straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid pyjama, drawstring closure",Clothing/Men/Kurta Sets/RG DESIGNERS/More by RG DESIGNERS,1749,4999,Men,In Stock
XXL,Libas,Cotton,Blue,Straight Kurta,"Blue solid straight kurta, has a mandarin collar, short placket with concealed hook closure, three-quarter sleeves, straight hem, multiple slits
The model (height 5'8"") is wearing a size S
This breathable and stylish kurta from Libas is a must-have item for any wardrobe.  Dress up for your next family event by pairing this blue piece with your best Kolhapuris and simple jewellery.
Cotton Machine-wash","Blue solid straight kurta, has a mandarin collar, short placket with concealed hook closure, three-quarter sleeves, straight hem, multiple slits",Clothing/Women/Kurtas/Libas/More by Libas,519,1299,Women,In Stock
XL,IMARA,Polyester,,Straight Kurta,"Multicolour printed straight kurta, has a round neck, three quarter sleeve, straight hem
The model (height 5'8'') is wearing a size S
100% Polyester   Machine-wash
This exquisite kurta from IMARA will help you maintain an elegant look all year long.  Sport this multi-coloured piece with studded flats and minimal jewellery for a simple yet stunning evening ensemble.","Multicolour printed straight kurta, has a round neck, three quarter sleeve, straight hem",Clothing/Women/Kurtas/IMARA/More by IMARA,779,1299,Women,In Stock
36/45,Chhabra 555,Crepe,Red,Lehenga & Blouse,"Red and golden-coloured lehenga choli with dupatta, has beads and stones Red blouse, has a round neck, long sleeves Golden-coloured embellished made to measure lehenga, flared hem Golden-coloured solid border
Made to Measure
Blouse fabric: Poly Crepe Lehenga fabric: Net Lehenga lining fabric: Shantoon Dupatta fabric: Net
Chhabra 555 has crafted this lehenga choli to celebrate a blend of tradition and style. While the deep colours and extensive Beads and Stones add to the overall richness, the modern cut makes it apt for a contemporary woman. Wear it with well defined eyes and minimal jewellery to bring out the best in you!","Red and golden-coloured lehenga choli with dupatta, has beads and stones Red blouse, has a round neck, long sleeves Golden-coloured embellished made to measure lehenga, flared hem Golden-coloured solid border",Clothing/Women/Lehenga Choli/Chhabra 555/More by Chhabra 555,8950,17900,Women,In Stock
3XL,RG DESIGNERS,Cotton,Yellow,Straight Kurta,"Yellow printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Cotton  Dry-clean
Sport this classic kurta from RG DESIGNERS this season.  This yellow piece is a great option for any evening event when combined with your favourite trousers or jeans.","Yellow printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/RG DESIGNERS/More by RG DESIGNERS,699,1999,Men,Out of Stock
XXL,Libas,Viscose Rayon,Rust | Orange,Straight Kurta,"Rust orange self-striped straight kurta, has a mandarin collar with hook-and-eye closures, three-quarter sleeves, straight hem, and side slits
The model (height 5'8"") is wearing a size S
Viscose Rayon Machine-wash
This breathable and stylish kurta from Libas is a must-have item for any wardrobe. For your next dinner party or family gathering, this piece pairs well with dark leggings and chic flats.","Rust orange self-striped straight kurta, has a mandarin collar with hook-and-eye closures, three-quarter sleeves, straight hem, and side slits",Clothing/Women/Kurtas/Libas/More by Libas,1499,1499,Women,In Stock
XXL,Libas,Viscose Rayon,Maroon,Straight Kurta,"Maroon self-striped straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits, two pockets, button closures
The model (height 5'8"") is wearing a size S
Viscose Rayon Machine-wash
Look and feel beautiful in this uniquely designed kurta from Libas.  For your next dinner party or family gathering, this maroon piece pairs well with dark leggings and chic flats.","Maroon self-striped straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits, two pockets, button closures",Clothing/Women/Kurtas/Libas/More by Libas,824,1499,Women,Out of Stock
7-8Y,Ethnicity,Cotton,Red,Straight Kurta,"Red solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
This stylish kurta from Ethnicity is just what your little one needs to make heads turn. We suggest you team it with a pair of denims to complete the look.
100% CottonDry-clean","Red solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Boys/Kurtas/Ethnicity/More by Ethnicity,519,799,Boys,Out of Stock
M,TREEMODA,Linen,Black,Kurta with Pyjamas,"Black solid kurta with pyjamas  Black straight above knee kurta, has a mandarin collar, long sleeves, asymmetric hem  Black solid pyjamas, slip-on closure
The model (height 6') is wearing a size M
Sport this classic kurta from TREEMODA this season.  You'll look dapper as ever in this black piece paired with slim jeans and sandals, ideal for any nice family gathering.
Top fabric: Linen Bottom fabric: Linen Dry-clean","Black solid kurta with pyjamas  Black straight above knee kurta, has a mandarin collar, long sleeves, asymmetric hem  Black solid pyjamas, slip-on closure",Clothing/Men/Kurta Sets/TREEMODA/More by TREEMODA,1999,3999,Men,In Stock
2-3Y,BownBee,Dupion,Orange | Purple,Lehenga & Blouse with Dupatta,"Orange and purple lehenga choli with dupatta Purple blouse with mirror-work and frills, has a V-neck, sleeveless Orange printed ready to wear lehenga, flared hem, drawstring closure Orange and purple&nbsp;dupatta with dyed effect
Blouse fabric: Dupion Silk Lehenga fabric: Banglori Silk Dupatta fabric: Silk Chiffon Dry-clean
Nothing jazzes up a celebration like a good old lehenga choli with mirror-work. This set from BownBee with its heavy bead and stone detailing is reminiscent of the grandeur of the Rajasthani royal courts. Wear this set with heavy jhumkas, jeweled hairpins and embellished sandals to be the cynosure of all eyes.","Orange and purple lehenga choli with dupatta Purple blouse with mirror-work and frills, has a V-neck, sleeveless Orange printed ready to wear lehenga, flared hem, drawstring closure Orange and purple&nbsp;dupatta with dyed effect",Clothing/Girls/Lehenga Choli/BownBee/More by BownBee,1099,2199,Girls,In Stock
XXL,Jompers,Dupion,Black,Kurta with Pyjamas,"Black self design kurta with pyjamas Black straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Maroon solid pyjamas, drawstring closure &nbsp;
The model (height 6') is wearing a size M
Top fabric: Dupion Silk Bottom fabric: Dupion Silk Hand-wash
This in-style kurta from Jompers is a must-have for any wardrobe.  Achieve a comfortably chic look for your next dinner party or family outing when you team this black piece with slim trousers and minimal flair.","Black self design kurta with pyjamas Black straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Maroon solid pyjamas, drawstring closure &nbsp;",Clothing/Men/Kurta Sets/Jompers/More by Jompers,1240,1699,Men,In Stock
